,back2mid_deg,earL2earR_deg
196,187.44461330662816,101.82943995517228
197,190.18780557396397,99.44843437187728
198,190.38874063056105,99.54270185610137
199,190.93370194214492,98.80366343828821
200,189.7043881101161,98.27495643918655
201,188.66221543170298,98.18594890714674
202,188.9388327689569,98.8458041720682
203,188.87340622937896,101.07680678122715
204,191.46167006565858,102.97630689543831
205,193.1934784245062,103.61182291603552
206,195.41724879707212,105.74417769833137
207,195.98201567534724,106.42996964586207
208,193.81637538786097,108.76401403810112
209,191.24929841828452,107.47856173265477
210,188.4875020684316,104.76307047538543
211,187.29698219168498,100.88088056628678
212,186.99022090848976,97.5040460482328
213,186.3903420656062,95.63704280279923
214,185.66325274544764,94.51950487243829
215,185.02131835876116,94.58149276433977
216,184.62557364786892,95.58287998854011
217,184.7768748254068,95.40842405129176
218,185.62546842373834,95.25024941745608
219,187.7319818222352,94.1295631480242
220,189.57941396770553,95.66749460106978
221,190.71548755245436,97.77683798199175
222,190.20278974922775,100.9382410240144
223,189.69178799987085,101.11843370029838
224,189.2802569026697,99.97205082313131
225,189.1788631586686,97.25807955135342
226,188.69842646917309,95.63114273903577
227,188.66722643291337,95.22350858226113
228,188.73877476156966,94.68380397293133
229,187.67654459011987,94.18385603684082
230,186.31133291257237,94.27138694834332
231,184.92823875257724,94.57775402695208
232,183.91878325827463,95.11235598662354
233,183.73065634045972,95.35620543288086
234,183.59975509324113,95.49892399616505
235,183.3027769388389,95.46274854760358
236,182.9175904881003,95.31780295073335
237,183.2837353322514,95.0740991222862
238,183.48016839414288,94.11087610440909
239,184.01755534382733,91.92485188284506
240,183.88775690525136,91.68332992764678
241,183.30851585950776,91.5757791394336
242,182.82281576821475,93.43540522965984
243,182.80727222653908,93.97044036817954
244,182.6059423650177,93.93756184265112
245,182.72254091161838,92.59656420548576
246,182.86041698418683,90.4906894005255
247,183.33442659273095,88.15950483332558
248,183.9864137461026,86.57495052104885
249,184.166033597333,86.26395915245519
250,184.12501914505523,86.55138871382945
251,184.164986459379,86.85904045553448
252,184.29750371090188,87.0119469893545
253,184.39133063906147,86.94124121178903
254,184.10791571875725,86.68593104947661
255,183.44863604841981,86.6999722485648
256,182.8806172765342,86.88684088954716
257,182.36955587388127,86.99212921208712
258,182.3008195090532,87.60614409025679
259,182.22082785523503,88.16498686401188
260,182.19853569978565,88.2429889467203
261,182.23179947429145,89.66828285226643
262,182.2093044635981,90.36487167546386
263,182.071965940572,90.99928480411957
264,181.89403288405506,91.55327212664014
265,181.7537127417172,89.65412383307273
266,181.74159483227064,88.46053886206381
267,181.80515306014814,88.45684797936536
268,182.0212773553676,88.28974309527192
269,182.51412687205075,87.9145618323529
270,182.50338298742523,87.25894513593713
271,182.44241065815694,86.70191131050642
272,181.91751292529335,87.02379051337574
273,181.71714406989648,87.0553378035862
274,181.6259635001535,86.9579640181087
275,181.5488639669088,86.92082071857756
276,181.54523515905743,86.85868746884172
277,181.6113997390263,86.90419678835256
278,181.57581360909805,88.92466164025606
279,181.48304911113343,90.95060543409042
280,181.3559444615839,92.21156587462094
281,181.3820966050821,90.7921177084995
282,181.33041311277825,88.76570318234924
283,181.3054911635028,86.82809768275179
284,181.20148429993344,88.89956154692285
285,181.29387866292765,89.2026939488927
286,181.4417351948081,88.77467234368518
287,181.58295147046306,87.11853567400213
288,181.87200932723164,85.83894104643208
289,182.05072972631515,85.94558552475598
290,182.09443409519528,85.88599870947398
291,182.13944983503524,85.86337588201555
292,181.89324640622434,85.65416621808131
293,181.91676991005497,85.67015665538837
294,181.92610409405526,85.69477979686631
295,181.9706001371982,85.70988920374167
296,182.09404650978828,85.70755619270501
297,182.28351164319866,85.71525488069403
298,182.37706335923554,86.41420989969033
299,182.32929782287084,88.19281722265656
300,182.16791263856982,89.880212202791
301,182.04224597454757,91.46076684049616
302,182.16571132306896,90.90959149168671
303,182.43924228461563,89.29378966835017
304,183.0609257937308,87.58837602440369
305,183.15623754971818,85.89250150679409
306,182.94081489014368,85.86580357251485
307,182.85426696855427,86.12178823682696
308,183.05944642213842,86.48226460977303
309,183.3062053225456,86.59340055834727
310,183.19203802835716,87.15056125751305
311,182.6701704265555,88.57705297683256
312,182.34914911203632,89.99736715571565
313,182.2417560158914,91.57981910175916
314,182.21847032794506,91.5570604957232
315,182.30772206040774,91.61512841932941
316,182.3997864534236,91.69772694197815
317,182.42260631879338,91.78188175458294
318,182.36118568466864,91.80803440710154
319,182.2879791575141,91.8030269901574
320,182.27974842338506,91.80375109286813
321,182.73091233958814,91.8181378084708
322,183.96658444835379,91.8896841626938
323,185.1394004898753,91.92510761425355
324,185.4469620168949,91.90234646460304
325,185.10869199007684,91.8205189882979
326,183.44997784811994,91.72148857382886
327,183.2425573338821,91.71412000931377
328,183.43046298126708,91.7798940225984
329,184.07747678170838,91.8573716350706
330,184.65926721444512,91.84622918145915
331,184.70885557045975,91.8030891929344
332,184.55834669223154,91.70807649529681
333,184.35436874270948,91.6904744409038
334,184.22956446695218,91.66821563935402
335,184.21347509907287,91.69192298278757
336,184.21899061192093,91.71350115867776
337,184.17197982936406,91.7341381819387
338,184.10507866216233,91.75237493555196
339,184.05527941459562,91.75668106230826
340,184.0364792571985,91.757756453719
341,184.05621041323795,91.78281264060305
342,184.03881656196472,92.29450164562438
343,183.98809508133263,92.53465876908395
344,183.4484768147609,92.59750681541159
345,181.72902379140723,92.0524299545015
346,179.06700529081124,89.68786955700446
347,176.7070482368413,86.23686182023827
348,174.78305028016476,82.1401125516344
349,174.2820047135701,79.26638669147844
350,172.796573330866,77.43861819395005
351,170.07485878295458,76.54319635176348
352,165.25091086965907,74.90398029038136
353,160.53532276286765,71.99222251221072
354,158.26856867496463,69.59616193052906
355,159.31419259744177,67.50567861017365
356,161.44922813630424,68.95439794745947
357,163.36561231921425,67.35946232603081
358,163.80321483841698,65.6691298467342
359,161.70402793488063,63.78445738399563
360,159.55070528058872,64.18934330521925
361,157.63260725980817,66.11259692884501
362,158.953964104107,66.27140128128933
363,158.92598917058052,66.37605391240764
364,158.80193329198892,67.05099292906053
365,158.7875951438652,67.499932427905
366,160.89698780683744,67.85783554014338
367,161.82933951813752,69.41001649759086
368,163.4841614332772,71.63322541493966
369,163.81652268024038,74.00480975781956
370,164.81044164317453,75.58123316493275
371,165.64496042188202,75.84554679404694
372,165.60154222930854,75.99954207767854
373,165.6703449634585,76.19900592093151
374,165.73676552206518,76.48277997128947
375,165.9220105866859,76.85460365921469
376,166.14360760148313,77.18099073913878
377,166.25813192729473,77.55968050527278
378,168.51245007298994,78.79345713935771
379,171.07252802462358,82.40357308150043
380,175.8110806440553,86.23783394868428
381,179.12469360007614,89.98318768969614
382,181.2000146536172,91.08448968020218
383,181.5729601219156,91.32188907461149
384,182.2977079562647,91.52652299566039
385,184.53183824412113,92.94908703326043
386,187.80316962463948,96.95973278461734
387,190.61363924279428,101.0359161890651
388,193.2931030166065,103.18880295154808
389,194.61654270603017,103.88590122843416
390,195.82437633920233,104.16527833226476
391,196.25893273918302,105.26774423317924
392,195.18657530247486,104.82310228020631
393,194.03395858284736,103.2482279433214
394,192.92864881287147,102.94127318735353
395,192.53852287742032,102.61031684710798
396,192.45048930000902,101.47181973682387
397,191.75114765973666,99.24177477230293
398,190.74613034635422,96.32901175074034
399,189.6843580368786,96.50212734274001
400,189.3640652117452,96.14706963434155
401,189.89864711759884,95.93130442187444
402,189.8455304274709,95.14800703484008
403,189.61742431508432,93.3203944674508
404,188.18284290071966,92.027204845592
